order_id,date,product_id,country_id,marketplace,quantity,revenue,cost,margin_pct,returned
1000,2024-05-05,21,2,Allegro,1,89.99,48.0,46.66,0
1001,2024-10-29,22,6,Allegro,1,99.99,55.0,44.99,0
1002,2024-10-14,7,2,Allegro,1,299.99,190.0,36.66,0
1003,2024-05-22,18,4,Amazon,2,99.98,44.0,55.99,0
1004,2024-03-20,6,5,Amazon,1,249.99,150.0,40.0,0
1005,2024-06-25,4,1,Amazon,1,629.99,440.0,30.16,0
1006,2024-07-12,15,5,Kaufland,1,229.99,150.0,34.78,0
1007,2024-10-22,21,5,Kaufland,1,89.99,48.0,46.66,0
1008,2024-02-10,22,2,Amazon,2,199.98,110.0,44.99,0
1009,2024-07-05,13,3,Allegro,1,49.99,25.0,49.99,0
1010,2024-11-27,22,3,Kaufland,1,99.99,55.0,44.99,0
1011,2024-07-13,18,6,Amazon,1,49.99,22.0,55.99,1
1012,2024-01-29,18,2,Amazon,1,49.99,22.0,55.99,0
1013,2024-10-17,11,4,Amazon,2,359.98,220.0,38.89,0
1014,2024-11-25,21,4,Kaufland,1,89.99,48.0,46.66,0
1015,2024-10-26,8,6,Allegro,1,199.99,120.0,40.0,0
1016,2024-09-17,12,2,Kaufland,1,279.99,160.0,42.86,0
1017,2024-12-14,4,2,Amazon,1,629.99,440.0,30.16,0
1018,2024-05-08,13,5,Amazon,3,149.97,75.0,49.99,0
1019,2024-10-01,1,5,Amazon,2,1399.98,980.0,30.0,0
1020,2024-08-20,11,2,Amazon,1,179.99,110.0,38.89,0
1021,2024-09-16,9,9,Allegro,3,899.97,570.0,36.66,0
1022,2024-04-11,10,7,Allegro,1,199.99,130.0,35.0,0
1023,2024-01-01,18,9,Kaufland,1,49.99,22.0,55.99,0
1024,2024-06-06,4,8,Kaufland,1,629.99,440.0,30.16,0
1025,2024-09-05,19,9,Amazon,2,79.98,36.0,54.99,1
1026,2024-08-31,18,6,Amazon,3,149.97,66.0,55.99,0
1027,2024-04-18,17,8,Amazon,3,179.97,90.0,49.99,0
1028,2024-12-09,7,6,Amazon,1,299.99,190.0,36.66,0
1029,2024-02-02,17,4,Amazon,1,59.99,30.0,49.99,0
1030,2024-12-28,8,5,Amazon,1,199.99,120.0,40.0,0
1031,2024-05-01,2,8,Amazon,1,549.99,380.0,30.91,0
1032,2024-10-19,18,2,Kaufland,1,49.99,22.0,55.99,0
1033,2024-02-19,16,7,Amazon,1,179.99,115.0,36.11,0
1034,2024-12-10,14,4,Allegro,1,129.99,75.0,42.3,0
1035,2024-02-25,2,4,Amazon,1,549.99,380.0,30.91,0
1036,2024-08-24,15,2,Amazon,1,229.99,150.0,34.78,1
1037,2024-02-20,15,7,Kaufland,1,229.99,150.0,34.78,1
1038,2024-05-01,1,9,Kaufland,1,699.99,490.0,30.0,0
1039,2024-03-25,7,8,Kaufland,1,299.99,190.0,36.66,1
1040,2024-05-26,9,8,Allegro,1,299.99,190.0,36.66,1
1041,2024-04-07,18,5,Amazon,1,49.99,22.0,55.99,1
1042,2024-06-09,19,6,Amazon,1,39.99,18.0,54.99,0
1043,2024-01-30,17,8,Allegro,3,179.97,90.0,49.99,0
1044,2024-04-30,6,1,Amazon,1,249.99,150.0,40.0,1
1045,2024-11-13,19,2,Allegro,1,39.99,18.0,54.99,0
1046,2024-04-14,19,4,Kaufland,1,39.99,18.0,54.99,0
1047,2024-06-02,9,4,Allegro,1,299.99,190.0,36.66,1
1048,2024-10-15,3,1,Allegro,3,1439.97,960.0,33.33,0
1049,2024-06-27,7,4,Amazon,2,599.98,380.0,36.66,0
1050,2024-10-05,12,3,Amazon,2,559.98,320.0,42.86,0
1051,2024-10-10,21,4,Allegro,1,89.99,48.0,46.66,0
1052,2024-10-10,5,3,Kaufland,1,399.99,260.0,35.0,0
1053,2024-11-20,7,6,Amazon,2,599.98,380.0,36.66,0
1054,2024-02-17,9,8,Kaufland,1,299.99,190.0,36.66,0
1055,2024-11-22,2,1,Allegro,3,1649.97,1140.0,30.91,0
1056,2024-01-05,15,5,Amazon,1,229.99,150.0,34.78,1
